DO,WT,pH,Tur,Cond,COD,NH,TP,TN,CHLa
17.74,20.71,12.32,44.39,659.21,4.71,0.08,0.05,1.6,20.02
18.73,23.12,12.61,32.04,679.1,5.17,0.05,0.05,1.46,25.73
18.24,23.5,12.54,40.53,648.78,5.15,0.05,0.05,1.45,23.47
16.67,23.13,12.38,91.5,640.7,5.61,0.06,0.09,2,26.89
16.21,22.31,12.31,55.34,637.01,5.35,0.08,0.08,1.74,29.66
16.13,21.73,12.14,108.72,635.24,5.23,0.12,0.09,1.98,19.28
15.88,21.21,12.22,72.04,619.23,6.47,0.14,0.08,1.8,21.91
16.53,21.67,12.29,66.8,618.59,5.63,0.12,0.08,1.72,18.28
17.9,23.65,12.61,58.03,648.77,5.7,0.09,0.06,1.92,28.01
19,24.48,12.76,58.38,641.67,5.9,0.06,0.06,1.8,29.87
19.4,25.24,12.84,61.79,640.52,5.83,0.06,0.06,1.77,34.1
20.48,27.02,13.08,115.87,636.55,6.22,0.06,0.08,1.65,49.14
18.38,27.07,13.08,84.16,636.09,6.63,0.08,0.08,1.59,52.48
16.81,26.32,13.01,72.39,649.67,6.65,0.08,0.08,1.74,49.55
16.93,27.08,13.12,40.08,648,6.21,0.06,0.06,1.66,49.76
16.85,27.79,12.76,54.72,662.02,5.72,0.06,0.06,1.75,24.14
16.93,30.5,12.87,76.34,660.29,5.75,0.08,0.08,1.68,19.96
15.04,30.09,12.55,49.55,652.11,5.32,0.08,0.06,1.53,11.04
14.72,32.07,12.47,35.52,652.33,5.03,0.06,0.05,1.54,9.82
14.06,33.81,12.37,33.2,657.99,5,0.08,0.05,1.66,10.03
13.28,34.1,12.22,39.41,662.17,5.11,0.09,0.06,1.66,8.62
13.28,33.38,12.14,50.33,660.2,5.23,0.11,0.06,1.68,11.07
14.11,29.4,12.18,57.43,656.3,5.28,0.12,0.06,1.75,12.11
14.56,27.13,12.14,60.01,653.19,5.38,0.14,0.06,1.81,11.13
15.28,25.01,12.14,69.57,661.79,5.06,0.17,0.08,1.8,11.13
15.39,24.57,12.18,65.5,665.36,4.68,0.15,0.08,1.78,14.52
16.17,25.64,12.25,68.64,664.52,4.85,0.17,0.08,1.46,13.98
16.52,26.76,12.32,60.59,665.19,4.9,0.12,0.08,1.49,20.5
17.22,27.88,12.47,61.09,667.61,4.93,0.09,0.08,1.43,29.14
16.21,27.68,12.34,92.78,673.44,5.28,0.09,0.08,1.65,24.58
16.87,27.86,12.51,78.75,669.63,5.26,0.09,0.08,1.51,27.18
19.31,31,12.96,77.33,666.15,5.76,0.06,0.08,1.42,32.64
17.03,30.3,12.83,63.82,664.63,5.54,0.06,0.08,1.19,32.27
15.27,30.07,12.52,74.36,669.02,5.35,0.08,0.06,1.4,38.84
14.73,30.82,12.55,109.04,669.34,5.75,0.12,0.09,1.54,41.33
14.44,31.7,12.43,136.29,666.29,5.86,0.14,0.11,1.51,36.3
14.15,31.11,12.37,76.2,667.16,5.17,0.09,0.09,1.37,32.85
15.27,30.94,12.55,50.4,664.85,5.05,0.06,0.08,1.42,25.54
16.18,30.87,12.64,45.63,683.95,5.22,0.05,0.06,1.56,19.43
16.52,30.67,12.72,49.17,689.18,5.38,0.05,0.06,1.68,18.86
16.7,30.76,12.95,47.4,662.03,5.09,0.05,0.06,1.37,18.68
16.35,30.91,12.92,42.88,662.9,4.68,0.05,0.05,1.39,19.38
16.04,31.63,12.93,43.94,666.56,5.05,0.05,0.05,1.31,18.13
15.75,33.15,12.9,48.17,668.68,4.83,0.05,0.06,1.2,18.5
14.91,34.83,12.75,58.59,667.13,4.88,0.05,0.06,1.04,16.87
14.38,35.87,12.7,74.88,667.72,5.03,0.05,0.06,1.16,19
13.42,36.68,12.47,79.01,674.07,4.86,0.06,0.06,1.14,14.43
12.93,36.23,12.46,75.69,673.58,5.49,0.08,0.09,1.27,15.28
12.96,36.51,12.32,62.6,680.76,4.9,0.08,0.08,0.93,12.7
13.13,37.06,12.31,58.7,684.56,4.77,0.06,0.06,1.04,11.94
13.27,36.8,12.35,64.61,679.42,5.15,0.08,0.08,1.17,16.33
13.33,36.58,12.38,56.9,678.2,4.82,0.05,0.08,1.17,20.37
13.05,34.94,12.31,73.79,669.72,4.91,0.09,0.08,1.04,23.13
13.4,34.3,12.26,75.59,668.74,5.66,0.09,0.08,1.11,20.21
13.88,33.06,12.18,90.89,668.12,4.83,0.12,0.08,1.36,23.41
15.6,35.04,12.47,74.57,665.43,4.96,0.09,0.08,1.16,26.14
14.55,34.69,12.35,71.58,665.68,4.85,0.06,0.08,1.19,24.19
13.69,35.11,12.26,71.9,670.51,4.83,0.08,0.08,1.24,22.34
14.2,36.8,12.32,61.49,671.08,4.58,0.08,0.08,1.16,18.19
14.73,38.69,12.52,49.17,667.92,4.82,0.05,0.06,1.11,55.21
13.91,38.96,12.44,56.61,669.76,4.85,0.06,0.06,1.08,18.22
14.23,38.35,12.54,49.03,668.67,4.88,0.06,0.06,1.14,15.39
15.05,40.02,12.66,37.84,666.81,4.76,0.05,0.06,1.08,16.13
16.15,41.08,12.84,33.73,665.3,4.85,0.05,0.05,1.11,15.48
